phrase,cluster,intent,seed,group,observedDate,geo,lang,volume,difficulty,cpc,timesObserved,collidesWithExisting,existingOwnerSlug,nearCollision,nearCollisionOwnerSlug
best games with no ads android,A,app-discovery,games with no ads android,portfolio-android-general,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best golf career mode game,A,app-discovery,golf career mode game,portfolio-sports-gm,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best hdr video player for android tv,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best high quality video player for android,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,2,false,,false,
best hot video player app for android,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best lightweight android video player,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best lightweight video player for android tv,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best local video player for android tv,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best mp4 video player for android,A,app-discovery,best android video player,portfolio-video-utility,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best offline android games,A,app-discovery,best offline android games,portfolio-action-arcade,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best offline android games 2026,A,app-discovery,best offline android games,portfolio-action-arcade,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best offline android games for flights,A,app-discovery,best offline android games,portfolio-action-arcade,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best offline android games for kids,A,app-discovery,best offline android games,portfolio-action-arcade,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best offline android games for long flights,A,app-discovery,best offline android games,portfolio-action-arcade,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best offline android games free,A,app-discovery,best offline android games,portfolio-action-arcade,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
best offline android games free no download,A,app-discovery,best offline android games,portfolio-action-arcade,2026-09-21,US,en,unknown,unknown,unknown,1,false,,false,
